question,body,A,B,C,D,E
QUESTÃO 146,"Lucas precisa estacionar o carro pelo período de 40 minutos, e sua irmã Clara também precisa estacionar o carro pelo período de 6 horas. O estacionamento Verde cobra 5 reais por hora de permanência. O estacionamento Amarelo cobra 6 reais por 4 horas de per manência e mais 2,50 reais por hora ou fração de hora ultrapassada. O estacionamento Preto cobra 7 reais por 3 horas de permanência e mais 1 real por hora ou fração de hora ultrapassada.  Os estacionamentos mais econômicos para Lucas e Clara, respectivamente, são",Verde e Preto.,Verde e Amarelo.,Amarelo e Amarelo.,Preto e Preto.,Verde e Verde.
QUESTÃO 147,"Estudantes trabalhando com robótica criaram uma ""torneira inteligente"" que automatiza sua abertura e seu fechamento durante a limpeza das mãos. A tecnologia funciona da seguinte forma: ao se colocarem as mãos sob a torneira, ela libera água durante 3 segundos para que a pessoa possa molhá-las. Em seguida, interrompe o fornecimento de água por 5 segundos, enquanto a pessoa ensaboa suas mãos, e finaliza o ciclo liberando água para o enxágue por mais 3 segundos. Considere o tempo (t), em segundo, contado a partir do instante em que se inicia o ciclo. A vazão de água nessa torneira é constante.  Um esboço de gráfico que descreve o volume de água acumulado, em litro, liberado por essa torneira durante um ciclo de lavagem das mãos, em função do tempo (t), em segundo, é  Descrição das alternativas: Em cada alternativa há a representação de um gráfico cartesiano em uma malha quadriculada, em que o eixo horizontal representa o tempo em segundo, de 0 a 12 segundos; e o eixo vertical representa o volume de água, em litro.",O gráfico é formado por três segmentos de reta: o primeiro liga os pontos (0 ; 0) e (3 ; 2); o segundo liga os pontos (3 ; 0) e (8 ; 0) e o terceiro liga os pontos (8 ; 2) e (11 ; 4).,O gráfico é formado por três segmentos de reta: o primeiro liga os pontos (0 ; 0) e (3 ; 2); o segundo liga os pontos (3 ; 2) e (8 ; 2) e o terceiro liga os pontos (8 ; 2) e (11 ; 4).,O gráfico é formado por três segmentos de reta: o primeiro liga os pontos (0 ; 2) e (3 ; 2); o segundo liga os pontos (3 ; 0) e (8 ; 0) e o terceiro liga os pontos (8 ; 2) e (11 ; 2).,O gráfico é formado por um segmento de reta que liga os pontos (0 ; 0) e (11 ; 4).,O gráfico é formado por três segmentos de reta: o primeiro liga os pontos (0 ; 0) e (3 ; 2); o segundo liga os pontos (3 ; 0) e (8 ; 0) e o terceiro liga os pontos (8 ; 0) e (11 ; 4). (Fim da descrição)
QUESTÃO 148,"As características culturais variam de povo para povo. Há notícias de um povo que possuía formas de contar diferentes das nossas, como indicado no quadrinho a seguir.  Descrição do quadrinho: Quadrinho com seis personagens, cada personagem mostra com os dedos um número e diz o nome desse número. Abaixo de cada um deles há, em arábico, o número dito.  Os números que aparecem na figura e os seus respectivos nomes falados pelos personagens são:  1: Urapum!  2: Okosa!  3: Okosa urapum!  4: Okosa okosa!  5: não consta o nome do número . 6: Okosa okosa okosa!  (Fim da descrição)    Segundo o padrão de contagem indicado na figura, as representações dos numerais cinco e sete, nessa cultura, devem ser, respectivamente,",okosa urapum urapum urapum e okosa okosa urapum urapum urapum.,okosa okosa urapum e okosa okosa okosa okosa urapum.,okosa okosa urapum e okosa okosa okosa urapum.,okosa urapum urapum e okosa urapum okosa urapum urapum.,okosa okosa urapum e okosa okosa okosa okosa.
QUESTÃO 149,"Um tipo de semente necessita de bastante água nos dois primeiros meses após o plantio. Um produtor pretende estabelecer o melhor momento para o plantio desse tipo de semente, nos meses de outubro a março. Após consultar a previsão do índice mensal de precipitação de chuva ( ImPC) da região onde ocorrerá o plantio, para o período chuvoso de 2020/2021, ele obteve os seguintes dados:  • outubro/2020: ImPC é igual a 250 milímetros ; • novembro/2020: ImPC é igual a 150 milímetros ; • dezembro/2020: ImPC é igual a 200 milímetros ; • janeiro/2021: ImPC é igual a 450 milímetros ; • fevereiro/2021: ImPC é igual a 100 milímetros ; • março/2021: ImPC é igual a 200 milímetros .  Com base nessas previsões, ele precisa escolher dois meses consecutivos em que a média mensal de precipitação seja a maior possível.  No início de qual desses meses o produtor deverá plantar esse tipo de semente?",Outubro.,Novembro.,Dezembro.,Janeiro.,Fevereiro.
QUESTÃO 150,"Um artista plástico esculpe uma escultura a partir de um bloco de madeira de lei, em etapas. Inicialmente, esculpe um cone reto com 36 centímetros de altura e diâmetro da base medindo 18 centímetros . Em seguida, remove desse cone um cone menor, cujo diâmetro da base mede 6 centímetros obtendo, assim, um tronco de cone, conforme ilustrado na figura.   Descrição da imagem: A imagem é formada por duas figuras. A figura à esquerda apresenta um cone circular reto, com diâmetro da base igual a 18 centímetros e altura igual a 36 centímetros. Nele está destacado um cone circular reto, de mesmo vértice e mesmo eixo de simetria mas altura menor, e cujo diâmetro da base é igual a 6 centímetros.  A figura à direita mostra o tronco de cone, obtido pela retirada do cone de altura menor do cone de altura maior, do qual foi removido também um cilindro circular reto, de diâmetro igual a 6 centímetros, com o mesmo eixo de simetria que o cone original. (Fim da descrição)    Em seguida, perfura esse tronco de cone, removendo um cilindro reto, de diâmetro 6 centímetros , cujo eixo de simetria é o mesmo d o cone original. Dessa forma, ao final, a escultura tem a forma de um tronco de cone com uma perfuração cilíndrica de base a base.  O tipo de madeira utilizada para produzir essa escultura tem massa igual a  0,6 grama por centímetro cúbico de volume. Utilize 3 como aproximação para pi.  Qual é a massa, em grama, dessa escultura?","1198,8","1296,0","1360,8","4665,6","4860,0"
QUESTÃO 151,"Os 100 funcionários de uma empresa estão distribuídos em dois setores: Produção e Administração. Os funcionários de um mesmo setor recebem salários com valores iguais. O quadro apresenta a quantidade de funcionários por setor e seus respectivos salários.  Descrição do quadro: Quadro com três colunas, nesta ordem: setor;  quantidade de funcionários e salário, em real.  Produção; 75 funcionários e 2000,00 reais de salário.  Administração; 25 funcionários e 7000,00 reais de salário.  (Fim da descrição)   A média dos salários dos 100 funcionários dessa empresa, em real, é","2000,00.","2500,00.","3250,00.","4500,00.","9000,00."
QUESTÃO 152,"Visando atrair mais clientes, o gerente de uma loja anunciou uma promoção em que cada cliente que realizar uma compra pode ganhar um voucher para ser usado em sua próxima compra. Para ganhar seu voucher, o cliente precisa retirar, ao acaso, uma bolinha de dentro de cada uma das duas urnas A e B disponibilizadas pelo gerente, nas quais há apenas bolinhas pretas e brancas. Atualmente, a probabilidade de se escolher, ao acaso, uma bolinha preta na urna A é igual a 20 por cento e a probabilidade de se escolher uma bolinha preta na urna B é 25 por cento . Ganha o voucher o cliente que retirar duas bolinhas pretas, uma de cada urna.  Com o passar dos dias, o gerente percebeu que, para a promoção ser viável aos negócios, era preciso alterar a probabilidade de acerto do cliente sem alterar a regra da promoção. Para isso, resolveu alterar a quantidade de bolinhas brancas na urna B de forma que a probabilidade de um cliente ganhar o voucher passasse a ser menor ou igual a 1 por cento . Sabe-se que a urna B tem 4 bolinhas pretas e que, em ambas as urnas, todas as bolinhas têm a mesma probabilidade de serem retiradas.  Qual é o número mínimo de bolinhas brancas que o gerente deve adicionar à urna B?",20,60,64,68,80
QUESTÃO 153,"Dirigir após ingerir bebidas alcoólicas é uma atitude extremamente perigosa, uma vez que, a partir da primeira dose, a pessoa já começa a ter perda de sensibilidade de movimentos e de reflexos. Apesar de a eliminação e absorção do álcool depender de cada pessoa e de como o organismo consegue metabolizar a substância, ao final da primeira hora após a ingestão, a concentração de álcool (C) no sangue corresponde a aproximadamente 90 por cento da quantidade (q) de álcool ingerida, e a eliminação to tal dessa concentração pode demorar até 12 horas.  Nessas condições, ao final da primeira hora após a ingestão da quantidade q de álcool, a concentração C dessa substância no sangue é expressa algebricamente por","C é igual a 0,9 vezes q","C é igual a 0,1 vezes q","C é igual a 1 menos 0,1 vezes q","C é igual a 1 menos 0,9 vezes q",C é igual a q menos 10
QUESTÃO 154,"Um investidor iniciante observou o gráfico que apresenta a evolução dos valores de duas criptomoedas A e B em relação ao tempo.  Descrição do gráfico: Gráfico cartesiano que relaciona os valores, em milhar  de real, de duas criptomoedas, A e B, com o tempo, em hora, no qual estão destacados nove pontos que representam valores dessas criptomoedas em nove instantes. O eixo horizontal representa os valores da criptomoeda A, e o eixo vertical, os valores da criptomoeda B para esses nove instantes.  9 horas: (3 ; 0,5) 10 horas: (2 ; 2) 11 horas: (4 ; 4) 12 horas: (5,5 ; 3) 13 horas: (6 ; 1,5) 14 horas: (3,5 ; 2) 15 horas: (2,5 ; 4) 16 horas: (1 ; 5) 17 horas: (0,5 ; 3,5) (Fim da descrição)    Durante horas consecutivas, esses valores foram observados em nove instantes, representados por horas exatas.  Em quantos desses instantes a criptomoeda A estava mais valorizada do que a criptomoeda B?",3,4,6,7,9
QUESTÃO 155,"A exposição a alguns níveis sonoros pode causar lesões auditivas. Por isso, em uma indústria, são adotadas medidas preventivas de acordo com a máquina que o funcionário opera e o nível N de intensidade do som, medido em decibel (dB), a que o o perário é exposto, sendo N igual a log na base 10 de I elevado a 10 menos log na base 10 de I índice 0 elevado a 10, I a intensidade do som e I índice 0 igual a 10 elevado a menos 12, watts por metro quadrado.  Quando o som é considerado baixo, ou seja, N é igual a 48 decibéis ou menos, deve ser utilizada a medida preventiva 1. No caso de o som ser moderado, quando N está no intervalo (48 decibéis , 55 decibéis ), deve ser utilizada a medida preventiva 2. Quando o som é moderado alto, que equivale a N no intervalo (55 decibéis , 80 decibéis ), a medida preventiva a ser usada é a 3 . Se N estiver no intervalo (80 decibéis, 115 decibéis ), quando o som é considerado alto, deve ser utilizada a medida preventiva 4 . E se o som é considerado muito alto, com N maior que 115 decibéis, deve-se utilizar a medida preventiva 5 . Uma nova máquina, com I igual a 8 vezes 10 elevado a menos 8, watts por metro quadrado , foi adquirida e será classificada de acordo com o nível de ruído que produz.  Considere 0,3 como aproximação para log na base 10 de 2 .  O funcionário que operará a nova máquina deverá adotar a medida preventiva",1.,2.,3.,4.,5.
QUESTÃO 156,"Em um colégio público, a admissão no primeiro ano se dá por sorteio. Neste ano há 55 candidatos, cujas inscrições são numeradas de 01 a 55. O sorteio de cada número de inscrição será realizado em etapas, utilizando-se duas urnas. Da primeira urna será sorteada uma bola, dentre bolas numeradas de 0 a 9, que representará o algarismo das unidades do número de inscrição a ser sorteado e, e m seguida, da segunda urna, será sorteada uma bola para representar o algarismo das dezenas desse número. Depois do primeiro sorteio, e antes de se sortear o algarismo das dezenas, as bolas que estarão presentes na segunda urna serão apenas aquelas cujos números formam, com o algarismo já sorteado, um número de 01 a 55.  As probabilidades de os candidatos de inscrição número 50 e 02 serem sorteados são, respectivamente,",um cinquenta avos e um sessenta avos .,um cinquenta avos e um cinquenta avos .,um cinquenta avos e um décimo .,um cinquenta e cinco avos e um cinquenta e quatro avos .,um centésimo e um centésimo .
QUESTÃO 157,"O esquema mostra como a intensidade luminosa decresce com o aumento da profundidade em um rio, sendo L índice 0 a intensidade na sua superfície.   Descrição do esquema: O esquema apresenta a intensidade luminosa de acordo com a profundidade, em metro, de um rio. A 0 metro: L índice 0; a 1 metro: dois terços de L índice 0; a 2 metros: quatro nonos de L índice 0; e a 3 metros: oito vinte e sete avos de L índice 0. (Fim da descrição)   Considere que a intensidade luminosa diminui, a cada metro acrescido na profundidade, segundo o mesmo padrão do esquema.  A intensidade luminosa correspondente à profundidade de 6 metros é igual a",um nono de L índice 0 .,fração de numerador 16 e denominador 27 vezes L índice 0 .,fração de numerador 32 e denominador 243 vezes L índice 0.,fração de numerador 64 e denominador 729 vezes L índice 0 .,fração de numerador 128 e denominador 2187 vezes L índice 0.
QUESTÃO 158,"Analisando as vendas de uma empresa, o gerente concluiu que o montante diário arrecadado, em milhar de real, poderia ser calculado pela expressão  V de x é igual a, abre parêntese, x ao quadrado sobre 4, fecha parêntese, menos 10 vezes x mais 105, em que os valores de x representam os dias do mês, variando de 1 a 30.  Um dos fatores para avaliar o desempenho mensal da empresa é verificar qual é o menor montante diário V índice 0 arrecadado ao longo do mês e classificar o desempenho conforme as categorias apresentadas a seguir, em que as quantidades estão expressas em milhar de real.   Ótimo: V índice 0 maior ou igual a 24  Bom: 20 menor ou igual a V índice 0 menor que 24  Normal: 10 menor ou igual a V índice 0 menor que 20  Ruim: 4 menor ou igual a V índice 0 menor que 10  Péssimo: V índice 0 menor que 4  No caso analisado, qual seria a classificação do de sempenho da empresa?",Ótimo.,Bom.,Normal.,Ruim.,Péssimo.
QUESTÃO 159,"Um professor, para promover a aprendizagem dos estudantes em estatística, propôs uma atividade. O objetivo era verificar o percentual de estudantes com massa corporal abaixo da média e altura acima da média de um grupo de estudantes. Para isso, usando uma balança e uma fita métrica, avaliou uma amostra de dez estudantes, anotando as medidas observadas. O gráfico apresenta a massa corporal, em quilograma, e a altura, em metro, obt idas na atividade.  Descrição do gráfico: Gráfico de pontos com o eixo horizontal indicando a massa corporal, em quilograma; e o eixo vertical, a altura, em metro.  Os pontos do gráfico têm as seguintes coordenadas:  Ponto 1: (50; 1,6)  Ponto 2: (58; 1,65)  Ponto 3: (60; 1,65)  Ponto 4: (63; 1,68)  Ponto 5: (70; 1,7)  Ponto 6: (85; 1,5) Ponto 7: (85; 1,65)  Ponto 8: (90; 1,63)  Ponto 9: (108; 1,75)  Ponto 10: (120; 1,7) (Fim da descrição)    Após a coleta dos dados, os estudantes calcularam a média dos valores obtidos, referentes à massa corporal e à altura, obtendo, respectivamente,  80 quilogramas e 1,65 metro .  Qual é o percentual de estudantes dessa amostra com massa corporal abaixo da média e altura acima da média?",10,20,30,50,70
QUESTÃO 160,"Um pescador tem um custo fixo diário de 900 reais com combustível, iscas, manutenção de seu barco e outras pequenas despesas. Ele vende cada quilograma de peixe por 5 reais . Sua meta é obter um lucro mínimo de  800 reais por dia. Sozinho, ele consegue, ao final de um dia de trabalho, pescar 180 quilogramas de peixe, o que é suficiente apenas para cobrir o custo fixo diário. Portanto, precisa contratar ajudantes, pagando para cada um 250 reais por dia de trabalho. Além desse valor, 4 por cento da receita obti da pela venda de peixe é repartida igualmente entre os ajudantes. Considerando o tamanho de seu barco, ele pode contratar até 5 ajudantes. Ele sabe que com um ajudante a pesca diária é de 300 quilogramas e que, a partir do segundo ajudante contratado, aumenta-se em 100 quilogramas a quantidade de peixe pescada por ajudante em um dia de trabalho.  A quantidade mínima de ajudantes que esse pescador precisa contratar para conseguir o lucro diário pretendido é",1.,2.,3.,4.,5.
QUESTÃO 161,"Um agricultor é informado sobre um método de proteção para sua lavoura que consiste em inserir larvas específicas, de rápida reprodução. A reprodução dessas larvas faz com que sua população multiplique-se por 10 a cada 3 dias e, para evitar eventuais desequilíbrios, é possível cessar essa reprodução aplicando-se um produto X. O agricultor decide iniciar esse método com 100 larvas e dispõe de 5 litros do produto X, cuja aplicação recomendada é de exatamente 1 litro para cada população de 200.000 larvas. A quantidade total do produto X de que ele dispõe deverá ser aplicada de uma única vez.  Quantos dias após iniciado esse método o agricultor deverá aplicar o produto X?",2,4,6,12,18
QUESTÃO 162,"Ao realizar o cadastro em um aplicativo de investimentos, foi solicitado ao usuário que criasse uma senha, sendo permitido o uso somente dos seguintes caracteres:  algarismos de 0 a 9; 26 letras minúsculas do alfabeto; 26 letras maiúsculas do alfabeto;  6 caracteres especiais: exclamação, arroba, hashtag, cifrão, asterisco,  e comercial.  Três tipos de estruturas para senha foram apresentadas ao usuário:  tipo 1: formada por quaisquer quatro caracteres distintos, escolhidos dentre os permitidos;  tipo 2: formada por cinco caracteres distintos, iniciando por três letras, seguidas por um algarismo e, ao final, um caractere especial;  tipo 3: formada por seis caracteres distintos, iniciando por duas letras, seguidas por dois algarismos e, ao final, dois caracteres especiais.   Considere p índice 1, p índice 2 e p índice 3 as probabilidades de se descobrirem ao acaso, na primeira tentativa, as senhas dos tipos 1 , 2 e 3, respectivamente.  Nessas condições, o tipo de senha que apresenta a menor probabilidade de ser descoberta ao acaso, na primeira tentativa, é o","tipo 1, pois p índice 1 menor que p índice 2 menor que p índice 3 .","tipo 1, pois tem menor quantidade de caracteres.","tipo 2, pois tem maior quantidade de letras.","tipo 3, pois p índice 3 menor que p índice 2 menor que p índice 1 .","tipo 3, pois tem maior quantidade de caracteres."
QUESTÃO 163,"Em primeiro de junho, um canil que cria 98 cães tem, em estoque, a quantidade exata de ração para fornecer, diariamente, 1000 gramas para cada animal durante 30 dias. No início do décimo primeiro dia o canil recebeu dois novos cães. Com isso, a quantidade de ração diária por animal teve que ser recalculada para que o restante de ração em estoque fosse suficiente para alimentar a todos até o fim do mês, garantindo, para cada cão, uma mesma porção diária da ração.  Qual a quantidade de ração, em grama, que deverá ser dada diariamente para cada cão, do dia 11 de junho até o final desse mês?",306,500,510,653,980
QUESTÃO 164,"A figura ilustra uma roda-gigante no exato instante em que a cadeira onde se encontra a pessoa P está no ponto mais alto dessa roda-gigante.  Descrição da figura: A figura representa uma roda-gigante, cujos suportes estão apoiados ao solo, no instante em que a cadeira onde se encontra uma pessoa P está no ponto mais alto dessa roda. Uma seta indica que a  roda-gigante gira no sentido horário. (Fim da descrição)   Com o passar do tempo, à medida que a roda-gigante gira, com velocidade constante e no sentido horário, a altura da cadeira onde se encontra a pessoa P, em relação ao solo, vai se alterando.   O gráfico que melhor representa a variação dessa altura, em função do tempo, contado a partir do instante em que a cadeira da pessoa P se encontra na posição mais alta da roda-gigante, é  Descrição das alternativas: Em cada alternativa há a representação de um gráfico cartesiano, em que o eixo horizontal representa o tempo; e o eixo vertical representa a altura da cadeira onde está a pessoa P em relação ao solo. Todos os gráficos são curvas contínuas que oscilam de um valor máximo a um valor mínimo, sendo o valor mínimo positivo, e iniciam no ponto de abscissa 0 e ordenada igual ao valor máximo.",O gráfico é representado por uma cossenoide.,"O gráfico é representado por uma linha poligonal formada por  4 segmentos de reta de mesmo comprimento, decrescentes e crescentes alternadamente.","O gráfico é representado por uma linha poligonal formada por  7 segmentos de reta, 4 deles decrescentes e crescentes alternadamente e de mesmo comprimento, interligados por  3 segmentos de reta horizontais de mesmo comprimento.","O gráfico é representado por 3 arcos de parábolas com concavidade para baixo, formando uma única curva contínua.","O gráfico é representado por 2 arcos de parábolas com concavidade para cima, formando uma única curva contínua. (Fim da descrição)"
QUESTÃO 165,"No alojamento de uma universidade, há alguns quartos com o padrão superior ao dos demais. Um desses quartos ficou disponível, e muitos estudantes se candidataram para morar no local. Para escolher quem ficará com o quarto, um sorteio será rea lizado. Para esse sorteio, cartões individuais com os nomes de todos os estudantes inscritos serão depositados em uma urna, sendo que, para cada estudante de primeiro ano, será depositado um único cartão com seu nome; para cada estudante de segundo ano, dois cartões com seu nome; e, para cada estudante de terceiro ano, três cartões com seu nome. Foram inscritos 200 estudantes de primeiro ano, 150 de segundo ano e 100 de terceiro ano. Todos os cartões têm a mesma probabilidade de serem sorteados.  Qual a probabilidade de o vencedor do sorteio ser um estudante de terceiro ano?",Um meio .,Um terço .,Um oitavo .,Dois nonos .,Três oitavos .
QUESTÃO 166,"A água utilizada pelos 75 moradores de um vilarejo provém de um reservatório de formato cilíndrico circular reto cujo raio da base mede 5 metros, sempre abastecido no primeiro dia de cada mês por caminhões-pipa. Cada morador desse vilarejo consome, em média, 200 litros de água por dia. No mês de junho de um determinado ano, o vilarejo festejou o dia do seu padroeiro e houve um gasto extra de água nos primeiros 20 dias. Passado esse período, as pessoas verificaram a quantidade de água presente no reservatório e constataram que o nível da coluna de água estava em 1,5 metro. Decidiram, então, fazer um racionamento de água durante os 10 dias seguintes.  Considere 3 como aproximação para pi .  Qual é a quantidade mínima de água, em litro, que cada morador, em média, deverá economizar por dia, de modo que o reservatório não fique sem água nos próximos 10 dias?",50,60,80,140,150
