question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 146,"Raios de luz solar estão atingindo a superfície de um lago formando um ângulo x com a sua superfície, conforme indica a ﬁgura. Em determinadas condições, pode-se supor que a intensidade luminosa desses raios, na superfície do lago, seja dada aproximadamente por I de x igual a k vezes seno de x sendo k uma constante, e supondo-se que x está entre zero grau e 90 graus . Descrição da figura: Desenho que ilustra um sol, com uma linha inclinada, que representa um raio de luz solar. Essa linha atinge a superfície de um lago e forma com ele um ângulo x. Quando x é igual a 30 graus , a intensidade luminosa se reduz a qual percentual de seu valor máximo?",33 por cento,50 por cento,57 por cento,70 por cento,86 por cento,2017,146,MT,B,portuguese
QUESTÃO 147,"A imagem apresentada na ﬁgura é uma cópia em preto e branco da tela quadrada intitulada O peixe, de Marcos Pinto, que foi colocada em uma parede para exposição e ﬁxada nos pontos",e,". Por um problema na ﬁxação de um dos pontos, a tela se desprendeu, girando rente à parede. Após o giro, ela ﬁcou posicionada como ilustrado na ﬁgura, formando um ângulo de 45 graus com a linha do horizonte. Figura 1: Tela com forma de um quadrado, ﬁxada pelos pontos A e B, sendo A o vértice superior esquerdo do quadrado, e B, o vértice inferior direito do quadrado; e o segmento de reta AB, a diagonal desse quadrado. Figura 2: A mesma tela ﬁxada apenas pelo ponto B, do qual parte uma linha horizontal, formando, com um dos lados do quadrado, um ângulo de 45 graus. Para recolocar a tela na sua pos ição original, deve-se girá-la, rente à parede, no menor ângulo possível inferior a 360 graus . A forma de recolocar a tela na posição original, obedecendo ao que foi estabelecido, é girando-a em um ângulo de A 90 graus no sentido horário. B 135 graus no sentido horário.",180 graus no sentido anti-horário.,270 graus no sentido anti-horário.,315 graus no sentido horário.,2017,147,MT,B,portuguese
QUESTÃO 148,"A avaliação de rendimento de alunos de um curso universitário baseia-se na média ponderada das notas obtidas nas disciplinas pelos respectivos números de créditos, como mostra o quadro: Descrição do quadro: Quadro que apresenta a classiﬁcação da avaliação conforme a média das notas, como segue: Avaliação: Excelente. Média de notas (M): maior que 9 e menor ou igual a 10. Avaliação: Bom. Média de notas (M): maior ou igual a 7 e menor ou igual a 9. Avaliação: Regular. Média de notas (M): maior ou igual a 5 e menor que 7. Avaliação: Ruim. Média de notas (M): maior ou igual a 3 e menor que 5. Avaliação: Péssimo. Média de notas (M): menor que 3. Quanto melhor a avaliação de um aluno em determinado período letivo, maior sua prioridade na escolha de disciplinas para o período seguinte. Determinado aluno sabe que se obtiver avaliação “Bom” ou “Excelente” conseguirá matrícula nas disciplinas que deseja. Ele já realizou as provas de 4 das 5 disciplinas em que está matriculado, mas ainda não realizou a prova da disciplina I, conforme o quadro. Descrição do quadro: Quadro que apresenta as disciplinas, as notas e os números de créditos: Disciplina I: Nota: Sem a nota. Número de créditos: 12.Disciplina II: Nota: 8,00. Número de créditos: 4.Disciplina III: Nota: 6,00. Número de créditos: 8.Disciplina IV: Nota: 5,00. Número de créditos: 8. Disciplina V: Nota: 7,50. Número de créditos: 10. Para que atinja seu objetivo, a nota mínima que ele deve conseguir na disciplina I é","7,00.","7,38.","7,50.","8,25.","9,00.",2017,148,MT,D,portuguese
QUESTÃO 149,"Um brinquedo infantil caminhão-cegonha é formado por uma carreta e dez carrinhos nela transportados, conforme a ﬁgura. Descrição da figura: A ﬁgura apresenta um caminhão-cegonha carregado com dez carrinhos, dispostos da seguinte maneira: quatro carrinhos na parte superior, três carrinhos na parte intermediária e três carrinhos na parte inferior. No setor de produção da empresa que fabrica esse brinquedo, é feita a pintura de todos os carrinhos para que o aspecto do brinquedo ﬁque mais atraente. São utilizadas as cores amarelo, branco, laranja e verde, e cada carrinho é pintado apenas com uma cor. O caminhão-cegonha tem uma cor ﬁxa. A empresa determinou que em todo caminhão-cegonha deve haver pelo menos um carrinho de cada uma das quatro cores disponíveis. Mudança de posição dos carrinhos no caminhão-cegonha não gera um novo modelo do brinquedo. Com base nessas informações, quantos são os modelos distintos do brinquedo caminhão-cegonha que essa empresa poderá produzir?",Combinação de 6 elementos 4 a 4,Combinação de 9 elementos 3 a 3,Combinação de 10 elementos 4 a 4,6 elevado a 4,4 elevado a 6,2017,149,MT,B,portuguese
QUESTÃO 150,"Uma empresa especializada em conservação de piscinas utiliza um produto para tratamento da água cujas especiﬁcações técnicas sugerem que seja adicionado 1,5 mililitros desse produto para cada 1 000 litros de água da piscina. Essa empresa foi contratada para cuidar de uma piscina de base retangular, de profundidade constante igual a 1,7 metro , com largura e comprimento iguais a 3 metros e 5 metros , respectivamente. O nível da lâmina d’água dessa piscina é mantido a 50 centímetros da borda da piscina.A quantidade desse produto, em mililitro, que deve ser adicionada a essa piscina de modo a atender às suas especiﬁcações técnicas é","11,25.","27,00.","28,80.","32,25.","49,50.",2017,150,MT,B,portuguese
QUESTÃO 151,"Um instituto de pesquisas eleitorais recebe uma encomenda na qual a margem de erro deverá ser de, no máximo, 2 pontos percentuais (0,02). O instituto tem 5 pesquisas recentes, P1 a P5, sobre o tema objeto da encomenda e irá usar a que tiver o erro menor que o pedido. Os dados sobre as pesquisas são os seguintes: Descrição do quadro: O quadro apresenta quatro colunas, sendo na primeira coluna as pesquisas, na segunda os valores de sigma, na terceira os valores de N e na quarta os valores da raiz quadrada de N:P1: sigma: 0,5; N: 1 764; raiz quadrada de N: 42.P2: sigma: 0,4; N: 784; raiz quadrada de N: 28.P3: sigma: 0,3; N: 576; raiz quadrada de N: 24.P4: sigma: 0,2; N: 441; raiz quadrada de N: 21.P5: sigma: 0,1; N: 64; raiz quadrada de N: 8. O erro e pode ser expresso por O módulo de e é menor que 1,96 vezes a fração com numerador sigma sobre denominador raiz quadrada de N. em que sigma é um parâmetro e N é o número de pessoas entrevistadas pela pesquisa.Qual pesquisa deverá ser utilizada?",P1,P2,P3,P4,P5,2017,151,MT,D,portuguese
QUESTÃO 152,"Em um teleférico turístico, bondinhos saem de estações ao nível do mar e do topo de uma montanha. A travessia dura 1,5 minuto e ambos os bondinhos se deslocam à mesma velocidade. Quarenta segundos após o bondinho","partir da estação ao nível do mar, ele cruza com o bondinho",", que havia saído do topo da montanha.Quantos segundos após a partida do bondinho B partiu o bondinho A ? A 5 B 10",15,20,25,2017,152,MT,B,portuguese
QUESTÃO 153,"Num dia de tempestade, a alteração na profundidade de um rio, num determinado local, foi registrada durante um período de 4 horas. Os resultados estão indicados no gráﬁco de linha. Nele, a profundidade h , registrada às 13 horas, não foi anotada e, a partir de h , cada unidade sobre o eixo vertical representa um metro. Descrição do gráfico: Gráﬁco de linha do registro de profundidade. No eixo horizontal estão as horas, de 13 horas a 17 horas, e no eixo vertical está a profundidade, em metro, a partir das 13 horas, da seguinte maneira:Às 13 horas, a profundidade está indicada por um ponto em uma linha horizontal. Às 14 horas, a profundidade está indicada por um ponto duas linhas acima da linha das 13 horas.Às 15 horas, a profundidade está indicada por um ponto seis linhas acima da linha das 13 horas.Às 16 horas, a profundidade está indicada por um ponto quatro linhas acima da linha das 13 horas.Às 17 horas, a profundidade está indicada por um ponto uma linha acima da linha das 13 horas. Foi informado que entre 15 horas e 16 horas, a profundidade do rio diminuiu em 10 por cento . Às 16 horas, qual é a profundidade do rio, em metro, no local onde foram feitos os registros?",18,20,24,36,40,2017,153,MT,A,portuguese
QUESTÃO 154,"Uma rede hoteleira dispõe de cabanas simples na ilha de Gotland, na Suécia. A estrutura de sustentação de cada uma dessas cabanas está representada na ﬁgura. A ideia é permitir ao hóspede uma estada livre de tecnologia, mas conectada com a natureza. Descrição da figura: Poliedro com duas faces paralelas triangulares iguais, unidas por três retângulos iguais, um em cada lado dos triângulos. A forma geométrica da superfície cujas arestas estão representadas na ﬁgura é",tetraedro.,pirâmide retangular.,tronco de pirâmide retangular.,prisma quadrangular reto.,prisma triangular reto.,2017,154,MT,E,portuguese
QUESTÃO 155,"A ﬁgura ilustra uma partida de Campo Minado, o jogo presente em praticamente todo computador pessoal. Quatro quadrados em um tabuleiro 16 por 16 foram abertos, e os números em suas faces indicam quantos dos seus 8 vizinhos contêm minas (a serem evitadas). O número 40 no canto inferior direito é o número total de minas no tabuleiro, cujas posições foram escolhidas ao acaso, de forma uniforme, antes de se abrir qualquer quadrado. Descrição da imagem: Tabuleiro com forma retangular. O centro desse tabuleiro é formado por quadrados iguais, dispostos em 16 colunas por 16 linhas. Na parte inferior do tabuleiro, no lado esquerdo, está um relógio; ao lado desse relógio, o número 109; no lado direito, está o número 40, com o desenho de uma mina ao seu lado. Nesse tabuleiro estão algumas letras e números, contadas de cima para baixo, de acordo com o que segue:Letra P, localizada na segunda coluna da quinta linha, com o número 2 no primeiro quadrado acima de P.Letra Q, localizada na sexta coluna da quinta linha, com o número 1 no primeiro quadrado acima de Q.Letra R, localizada na quarta coluna da nona linha.Letra S, localizada na quarta coluna da décima sexta linha, com o número 4 no primeiro quadrado acima de S.Letra T, localizada na décima terceira coluna da décima quarta linha, com o número 3 no primeiro quadrado acima de T. Em sua próxima jogada, o jogador deve escolher dentre os quadrados marcados com as letras P , Q , R , S e T um para abrir, sendo que deve escolher aquele com a menor probabilidade de conter uma mina.O jogador deverá abrir o quadrado marcado com a letra",P .,Q .,R .,S .,T .,2017,155,MT,B,portuguese
QUESTÃO 156,"A água para o abastecimento de um prédio é armazenada em um sistema formado por dois reservatórios idênticos, em formato de bloco retangular, ligados entre si por um cano igual ao cano de entrada, conforme ilustra a ﬁgura. Descrição da figura: Figura composta por dois reservatórios iguais (1 e 2), com formato de blocos retangulares. O reservatório 1 está à esquerda e o reservatório 2, à direita, com um espaço entre eles. O cano de entrada encontra-se na parte superior da face esquerda do reservatório 1. Os dois reservatórios estão ligados por um cano, igual ao cano da entrada, centralizado na face direita do reservatório 1 e na face esquerda do reservatório 2. O cano de ligação entre os reservatórios está abaixo do cano de entrada, localizado no centro dos reservatórios. A água entra no sistema pelo cano de entrada no Reservatório 1 a uma vazão constante e, ao atingir o nível do cano de ligação, passa a abastecer o Reservatório 2. Suponha que, inicialmente, os dois reservatórios estejam vazios.Qual dos gráﬁcos melhor descreverá a altura h do nível da água no Reservatório 1, em função do volume V de água no sistema?","Descrição do gráfico: Gráﬁco cartesiano. O eixo horizontal representa o volume v e o eixo vertical representa a altura h. O gráﬁco representa um segmento de reta crescente, partindo da origem dos eixos.","Descrição do gráfico: Gráﬁco cartesiano. O eixo horizontal representa o volume v e o eixo vertical representa a altura h. O gráﬁco representa duas curvas convexas para a esquerda e para cima, a primeira partindo da origem dos eixos e a segunda continuando a primeira.","Descrição do gráfico: Gráﬁco cartesiano. O eixo horizontal representa o volume v e o eixo vertical representa a altura h. O gráﬁco representa três segmentos de retas. O primeiro é crescente, partindo da origem dos eixos; seguido por um segundo, paralelo ao eixo horizontal; seguido por um terceiro, muito acentuado, para cima e para a direita.","Descrição do gráfico: Gráﬁco cartesiano. O eixo horizontal representa o volume v e o eixo vertical representa a altura h. O gráﬁco representa três segmentos de retas. O primeiro é crescente, partindo da origem dos eixos; seguido por um segundo, paralelo ao eixo horizontal; seguido por um terceiro, pouco acentuado, para cima e para a direita.","Descrição do gráfico: Gráﬁco cartesiano. O eixo horizontal representa o volume v e o eixo vertical representa a altura h. O gráﬁco representa uma curva crescente com concavidade para baixo, partindo da origem dos eixos.",2017,156,MT,D,portuguese
QUESTÃO 157,"A manchete demonstra que o transporte de grandes cargas representa cada vez mais preocupação quando feito em vias urbanas. Caminhão entala em viaduto no Centro Um caminhão de grande porte entalou embaixo do viaduto no cruzamento das avenidas Borges de Medeiros e Loureiro da Silva no sentido Centro-Bairro, próximo à Ponte de Pedra, na capital. Esse veículo vinha de São Paulo para Porto Alegre e transportava três grandes tubos, conforme ilustrado n a foto. Descrição da foto: A foto apresenta um caminhão com três tubos colocados sobre sua carroceria, dois acomodados em uma camada inferior e um acomodado sobre esses dois. Considere que o raio externo de cada cano da imagem seja 0,60 metro e que eles estejam em cima de uma carroceria cuja parte superior está a 1,30 metro do solo. O desenho representa a vista traseira do empilhamento dos canos. Descrição do desenho: O desenho apresenta um segmento de reta horizontal, representando a parte superior da carroceria do caminhão, onde estão acomodados os tubos, e três circunferências, que representam os tubos, dispostas duas delas sobre o segmento de reta e a terceira acomodada sobre as outras duas, de forma centralizada. Na circunferência que representa o terceiro tubo está indicada a dimensão do raio, igual a 0,60 metro. A margem de segurança recomendada para que um veículo passe sob um viaduto é que a altura total do veículo com a carga seja, no mínimo, 0,50 metro menor do que a altura do vão do viaduto. Considere 1,7 como aproximação para raiz quadrada de 3. Qual deveria ser a altura mínima do viaduto, em metro, para que esse caminhão pudesse passar com segurança sob seu vão?","2,82","3,52","3,70","4,02","4,20",2017,157,MT,D,portuguese
QUESTÃO 158,"Numa loja há 50 piscinas à venda, algumas de base quadrada e outras de base redonda. Há duas opções de profundidade: rasas e fundas. Sabe-se que 15 delas possuem base quadrada e profundidade rasa, 18 têm base redonda e 28 são fundas.O número de piscinas que são, ao mesmo tempo, fundas e de base redonda é",11.,13.,18.,35.,46.,2017,158,MT,A,portuguese
QUESTÃO 159,"Três alunos, X, Y e Z, estão matriculados em um curso de inglês. Para avaliar esses alunos, o professor optou por fazer cinco provas. Para que seja aprovado nesse curso, o aluno deverá ter a média aritmética das notas das cinco provas maior ou igual a 6. Na tabela, estão dispostas as notas que cada aluno tirou em cada prova. Descrição da tabela: Tabela que apresenta os alunos e suas notas nas cinco provas, na seguinte ordem: 1ª prova, 2ª prova, 3ª prova, 4ª prova, 5ª prova. Aluno X: 5, 5, 5, 10 e 6.Aluno Y: 4, 9, 3, 9 e 5.Aluno Z: 5, 5, 8, 5 e 6. Com base nos dados da tabela e nas informações dadas, ﬁcará(ão) reprovado(s)",apenas o aluno Y.,apenas o aluno Z.,apenas os alunos X e Y.,apenas os alunos X e Z.,"os alunos X, Y e Z.",2017,159,MT,B,portuguese
QUESTÃO 160,"O ﬁsiologista inglês Archibald Vivian Hill propôs, em seus estudos, que a velocidade v de contração de um músculo ao ser submetido a um peso p é dada pela equação entre parênteses, p mais a, vezes, entre parênteses, v mais b, igual a K , com a , b e K constantes. Um ﬁsioterapeuta, com o intuito de maximizar o efeito benéﬁco dos exercícios que recomendaria a um de seus pacientes, quis estudar essa equação e a classiﬁcou desta forma: Descrição do quadro: Quadro que apresenta nomes de cinco tipos de curvas: semirreta oblíqua; semirreta horizontal; ramo de parábola; arco de circunferência; ramo de hipérbole. O ﬁsioterapeuta analisou a dependência entre v e p  na equação de Hill e a classiﬁcou de acordo com sua representação geométrica no plano cartesiano, utilizando o par de coordenadas ( p ; v ). Admita que K é maior que 0 . O gráﬁco da equação que o ﬁsioterapeuta utilizou para maximizar o efeito dos exercícios é do tipo",semirreta oblíqua.,semirreta horizontal.,ramo de parábola.,arco de circunferência.,ramo de hipérbole.,2017,160,MT,E,portuguese
QUESTÃO 161,"Em um parque há dois mirantes de alturas distintas que são acessados por elevador panorâmico. O topo do mirante 1 é acessado pelo elevador 1, enquanto que o topo do mirante 2 é acessado pelo elevador 2. Eles encontram-se a uma distância possível de ser percorrida a pé, e entre os mirantes há um teleférico que os liga que pode ou não ser utilizado pelo visitante. O acesso aos elevadores tem os seguintes custos: • Subir pelo elevador 1: R$ 0,15; • Subir pelo elevador 2: R$ 1,80; • Descer pelo elevador 1: R$ 0,10; • Descer pelo elevador 2: R$ 2,30. O custo da passagem do teleférico partindo do topo do mirante 1 para o topo do mirante 2 é de R$ 2,00, e do topo do mirante 2 para o topo do mirante 1 é de R$ 2,50.Qual é o menor custo, em real, para uma pessoa visitar os topos dos dois mirantes e retornar ao solo?","2,25","3,90","4,35","4,40","4,45",2017,161,MT,C,portuguese
QUESTÃO 162,"A mensagem digitada no celular, enquanto você dirige, tira a sua atenção e, por isso, deve ser evitada. Pesquisas mostram que um motorista que dirige um carro a uma velocidade constante percorre “às cegas”  (isto é, sem ter visão da pista) uma distância proporcional ao tempo gasto ao olhar para o celular durante a digitação da mensagem. Considere que isso de fato aconteça. Suponha que dois motoristas ( X e Y ) dirigem com a mesma velocidade constante e digitam a mesma mensagem em seus celulares. Suponha, ainda, que o tempo gasto pelo motorista X olhando para seu celular enquanto digita a mensagem corresponde a 25 por cento do tempo gasto pelo motorista Y para executar a mesma tarefa. A razão entre as distâncias percorridas às cegas por X e Y , nessa ordem, é igual a",Cinco sobre quatro.,Um sobre quatro.,Quatro sobre três.,Quatro sobre um.,Três sobre quatro.,2017,162,MT,B,portuguese
QUESTÃO 163,"Uma desenhista projetista deverá desenhar uma tampa de panela em forma circular. Para realizar esse desenho, ela dispõe, no momento, de apenas um compasso, cujo comprimento das hastes é de 10 centímetros , um transferidor e uma folha de papel com um plano cartesiano. Para esboçar o desenho dessa tampa, ela afastou as hastes do compasso de forma que o ângulo formado por elas fosse de 120 graus . A ponta seca está representada pelo ponto C , a ponta do graﬁte está representada pelo ponto B e a cabeça do compasso está representada pelo ponto","conforme a ﬁgura. Descrição da figura: Um compasso de hastes com comprimento igual a 10 centímetros desenha, em um plano cartesiano, uma circunferência de centro C no ponto (3 ; 1), a ponta seca do compasso, o ponto C, a ponta do graﬁte do compasso é um ponto da circunferência e o ponto A, a cabeça do compasso. Este compasso forma o triângulo ABC com base BC, raio da circunferência, e o ângulo BAC igual a 120 graus. Após concluir o desenho, ela o encaminha para o setor de produção. Ao receber o desenho com a indicação do raio da tampa, veriﬁcará em qual intervalo este se encontra e decidirá o tipo de material a ser utilizado na sua fabricação, de acordo com os dados. Descrição do quadro: Quadro que apresenta o tipo de material e intervalo de valores do raio em centímetro, sendo: Tipo de material - I - R maior que 0 e menor ou igual a 5Tipo de material - II - R maior que 5 e menor ou igual a 10Tipo de material - III - R maior que 10 e menor ou igual a 15Tipo de material - IV - R maior que 15 e menor ou igual a 21 Tipo de material - V - R maior que 21 e menor ou igual a 40 Considere 1,7 como aproximação para raiz quadrada de 3. O tipo de material a ser utilizado pelo setor de produção será A I.",II.,III.,IV.,V.,2017,163,MT,D,portuguese
QUESTÃO 164,"Uma pessoa ganhou uma pulseira formada por pérolas esféricas, na qual faltava uma das pérolas. Ela levou a joia a um joalheiro que veriﬁcou que a medida do diâmetro dessas pérolas era 4 milímetros. Em seu estoque, as pérolas do mesmo tipo e formato, disponíveis para reposição, tinham diâmetros iguais a: 4,025 milímetros ; 4,100 milímetros ; 3,970 milímetros ; 4,080 milímetros e 3,099 milímetros . O joalheiro então colocou na pulseira a pérola cujo diâmetro era o mais próximo do diâmetro das pérolas originais.A pérola colocada na pulseira pelo joalheiro tem diâmetro, em milímetro, igual a","3,099.","3,970.","4,025.","4,080.","4,100.",2017,164,MT,C,portuguese
QUESTÃO 165,"Em uma de suas viagens, um turista comprou uma lembrança de um dos monumentos que visitou. Na base do objeto há informações dizendo que se trata de uma peça em escala 1 para 400, e que seu volume é de 25 centímetros cúbicos . O volume do monumento original, em metro cúbico, é de",100.,400.,1 600.,6 250.,10 000.,2017,165,MT,C,portuguese
