CO_ITEM,TP_ESCOLA,TX_GABARITO,answer_distribution,correct_probability
31313,3,D,[0.25228627 0.05000333 0.26205126 0.36838007 0.06577795 0.00150112],0.36838006629539877
31381,1,C,[0.1002285  0.26906479 0.22499232 0.23049336 0.17245105 0.00276998],0.22499232021949445
31381,2,C,[0.10558606 0.30130154 0.1880038  0.21295646 0.18988941 0.00226273],0.18800380053330065
31381,3,C,[0.08614303 0.25159462 0.26592447 0.23738261 0.15632189 0.00263337],0.26592447242900397
31516,1,A,[0.31868895 0.10122975 0.2941265  0.18143048 0.10149702 0.0030273 ],0.31868895031635613
31516,2,A,[0.27480892 0.10814247 0.29057675 0.20100357 0.12283211 0.00263619],0.2748089161363409
31516,3,A,[0.41129755 0.07143333 0.30779044 0.14322531 0.0640912  0.00216216],0.41129755347764824
32369,1,D,[0.2986593  0.22959072 0.19915249 0.20217285 0.0662197  0.00420494],0.20217285187071038
32369,2,D,[0.28019472 0.24237994 0.2201351  0.18242693 0.0711907  0.00367261],0.1824269310160563
32369,3,D,[0.28387649 0.22947225 0.19127811 0.22942102 0.06153074 0.0044214 ],0.2294210167685348
37769,1,B,[0.14817768 0.26795385 0.32242664 0.12715718 0.13201017 0.00227448],0.26795385398738414
37769,2,B,[0.14186437 0.28745597 0.30898123 0.13262689 0.12705135 0.0020202 ],0.28745597471286116
37769,3,B,[0.13450691 0.26765102 0.34528427 0.12753923 0.12309734 0.00192123],0.2676510218405939
39101,1,E,[0.48573349 0.06599036 0.04187584 0.06085963 0.34119582 0.00434486],0.34119581546644673
39101,2,E,[0.55246588 0.07303101 0.04665115 0.07139193 0.25153347 0.00492657],0.2515334725440786
39101,3,E,[0.48029838 0.04278973 0.03410575 0.05929698 0.37895966 0.00454948],0.3789596643219067
39443,1,X,[0.17090668 0.08739695 0.1675907  0.39167722 0.17830136 0.00412709],0.0
39443,2,X,[0.19367528 0.08921525 0.16934627 0.36213939 0.18196985 0.00365395],0.0
39443,3,X,[0.15745926 0.06379011 0.11505377 0.44359512 0.21643859 0.00366315],0.0
40571,1,E,[0.25155925 0.28482328 0.23700624 0.07692308 0.14968815 0.        ],0.1496881496881497
40571,2,E,[0.27794562 0.33534743 0.19335347 0.05438066 0.13595166 0.00302115],0.13595166163141995
40571,3,E,[0.28571429 0.14285714 0.30952381 0.04761905 0.21428571 0.        ],0.21428571428571427
41054,1,A,[0.46085942 0.09747009 0.15051423 0.15996141 0.12889512 0.00229973],0.4608594200398086
41054,2,A,[0.44672391 0.09801165 0.15858565 0.16596817 0.12835062 0.00236001],0.4467239056476298
41054,3,A,[0.48432016 0.11550974 0.1843924  0.14207401 0.07214107 0.0015626 ],0.48432016476507145
41810,1,A,[0.52034275 0.11844415 0.12249544 0.12502789 0.11016369 0.00352606],0.5203427544133683
41810,2,A,[0.49596781 0.12989392 0.14211914 0.0951847  0.13231097 0.00452346],0.49596781181966404
41810,3,A,[0.56826975 0.09904942 0.10399959 0.13705706 0.08783725 0.00378693],0.5682697481360014
42674,1,B,[0.13707041 0.51858086 0.14052315 0.13715562 0.06386632 0.00280365],0.5185808607245505
42674,2,B,[0.17180223 0.48723583 0.13062667 0.14053578 0.06673054 0.00306894],0.48723583161985073
42674,3,B,[0.08233643 0.63012906 0.12085846 0.09824425 0.06603923 0.00239258],0.6301290557260474
42940,1,D,[0.0818633  0.10036632 0.09211634 0.66361825 0.05806545 0.00397034],0.6636182496833406
42940,2,D,[0.10047293 0.11871469 0.09120347 0.61746939 0.0675261  0.00461341],0.6174693938469206
42940,3,D,[0.05270843 0.09761408 0.08196243 0.72462305 0.03911633 0.00397567],0.7246230537894429
43073,1,A,[0.48427328 0.14748966 0.07399942 0.07462643 0.21730623 0.00230499],0.48427328235922856
43073,2,A,[0.43966254 0.16633596 0.08726835 0.08980559 0.21466617 0.0022614 ],0.43966253609640454
43073,3,A,[0.54483137 0.13134071 0.03371126 0.05275966 0.23547675 0.00188025],0.5448313668430786
43182,1,C,[0.18316066 0.25365894 0.35308896 0.13167247 0.07507459 0.00334439],0.3530889550027984
43182,2,C,[0.19784228 0.26848796 0.29768623 0.14998514 0.08271757 0.00328083],0.29768623212836526
43182,3,C,[0.10360321 0.2367422  0.46205434 0.12820526 0.06638249 0.0030125 ],0.4620543376351909
44230,1,A,[0.49632738 0.08590098 0.06892024 0.10180128 0.24090525 0.00614488],0.496327381678779
44230,2,A,[0.3856262  0.09839144 0.08899138 0.11390406 0.30497947 0.00810745],0.3856262018253754
44230,3,A,[0.52852393 0.08371971 0.04901966 0.11433138 0.21899512 0.0054102 ],0.5285239283353912
44570,1,A,[0.52632376 0.04681194 0.13828865 0.03877553 0.24715007 0.00265005],0.5263237627137188
44570,2,A,[0.51031221 0.05771027 0.12763635 0.04678174 0.25457976 0.00297966],0.5103122114119941
44570,3,A,[0.59023398 0.03314258 0.06654644 0.02654378 0.28183742 0.00169581],0.5902339807466686
44969,1,B,[0.16384233 0.2714855  0.25780602 0.22676183 0.07593304 0.00417128],0.2714855009952154
44969,2,B,[0.16479416 0.25988612 0.25513145 0.23601818 0.08076666 0.00340342],0.25988611725951166
44969,3,B,[0.15068114 0.26283    0.2760276  0.23944218 0.06617756 0.00484151],0.2628300040474007
45201,1,C,[0.12740651 0.24137971 0.33850368 0.18982208 0.09924065 0.00364737],0.33850368419059323
45201,2,C,[0.16672908 0.25328582 0.25190393 0.22243114 0.1010726  0.00457743],0.25190393125991944
45201,3,C,[0.1037108  0.28837474 0.39195233 0.1427759  0.06937962 0.00380661],0.39195233289102244
47309,1,B,[0.14789784 0.31576838 0.19887265 0.15551135 0.17664652 0.00530326],0.31576837781995226
47309,2,B,[0.16651186 0.29451068 0.19334347 0.1530794  0.18815438 0.0044002 ],0.29451068133754255
47309,3,B,[0.16028731 0.43070491 0.15463632 0.10987924 0.13938428 0.00510792],0.4307049137493788
49544,1,C,[0.1477453  0.13154517 0.28618965 0.21885902 0.21209871 0.00356216],0.2861896506015477
49544,2,C,[0.17079613 0.15015838 0.22099995 0.21147596 0.24225068 0.00431891],0.22099994536400233
49544,3,C,[0.13587483 0.10195351 0.37302177 0.21566498 0.17041094 0.00307398],0.3730217688678037
53461,1,C,[0.11068352 0.14653547 0.26459053 0.19957225 0.27424601 0.00437221],0.2645905309358391
53461,2,C,[0.11296192 0.14883112 0.22347589 0.2129538  0.29776485 0.00401241],0.22347588886771558
53461,3,C,[0.10088274 0.1310077  0.28853356 0.1912986  0.28392772 0.00434967],0.2885335601243935
54528,1,E,[0.55999907 0.08225676 0.12096601 0.08982503 0.14392119 0.00303194],0.14392119072366677
54528,2,E,[0.58203595 0.09849405 0.10939459 0.0995761  0.10714386 0.00335545],0.10714385658183873
54528,3,E,[0.67456849 0.05962487 0.07733609 0.05939432 0.12681172 0.0022645 ],0.12681172414146433
60382,1,E,[0.0829509  0.16067376 0.14000051 0.16881528 0.44338721 0.00417233],0.44338721017863986
60382,2,E,[0.08545386 0.16751479 0.14796244 0.17164496 0.42237921 0.00504473],0.42237921100029463
60382,3,E,[0.05798253 0.11287504 0.13583233 0.1538702  0.53596556 0.00347434],0.5359655640677445
60441,1,E,[0.04115942 0.1201044  0.0608428  0.10785884 0.66582014 0.00421441],0.6658201374365104
60441,2,E,[0.04546914 0.14337685 0.06369891 0.11525397 0.62837394 0.00382719],0.6283739394286674
60441,3,E,[0.01883322 0.08481098 0.03852716 0.05453232 0.80021723 0.0030791 ],0.800217227581755
61248,1,D,[0.22569086 0.22184782 0.17045746 0.25756195 0.1201286  0.0043133 ],0.2575619537361606
61248,2,D,[0.26510585 0.23077712 0.16400794 0.21025264 0.1257654  0.00409104],0.2102526448486916
61248,3,D,[0.21982509 0.19442381 0.18135941 0.3091087  0.09166594 0.00361704],0.30910870088684184
63204,1,E,[0.11394059 0.18509639 0.19710209 0.25430909 0.24484929 0.00470255],0.2448492869376402
63204,2,E,[0.11794979 0.20535806 0.20818581 0.2771884  0.18720292 0.00411502],0.18720291676272385
63204,3,E,[0.10832176 0.15199783 0.15013295 0.2644797  0.32000594 0.00506181],0.32000594301874613
63646,1,C,[0.11556548 0.37060861 0.29551756 0.11642621 0.09863809 0.00324406],0.2955175603170611
63646,2,C,[0.11556725 0.38877287 0.27116783 0.1287029  0.09306101 0.00272815],0.27116782727484756
63646,3,C,[0.10868708 0.39632637 0.33116946 0.10444473 0.05732292 0.00204944],0.33116946330216473
64203,1,A,[0.16677222 0.18695426 0.29644479 0.21759869 0.12752328 0.00470676],0.16677221981425452
64203,2,A,[0.16875727 0.17501376 0.30896257 0.21456089 0.12871841 0.0039871 ],0.16875727091859102
64203,3,A,[0.12534646 0.21774503 0.28260079 0.2413839  0.12812329 0.00480052],0.12534646262302304
66576,1,A,[0.85853529 0.03867032 0.03024887 0.03684191 0.03329658 0.00240703],0.858535287013386
66576,2,A,[0.83513788 0.04563572 0.03729107 0.04012814 0.03902743 0.00277977],0.8351378759389729
66576,3,A,[0.94541645 0.01544673 0.0099853  0.01183993 0.01581048 0.00150112],0.9454164467920507
67229,1,A,[0.22110417 0.18884964 0.23164552 0.17315497 0.18026183 0.00498385],0.22110417359599524
67229,2,A,[0.20349719 0.19741657 0.23086994 0.182553   0.17943337 0.00622993],0.20349718500071326
67229,3,A,[0.25239181 0.21133516 0.18746573 0.16754721 0.1754849  0.00577519],0.2523918112173
67980,1,E,[0.17557451 0.18944335 0.2892826  0.15942067 0.17999722 0.00628164],0.1799972226547213
67980,2,E,[0.20563524 0.22396628 0.30872537 0.16303915 0.09081835 0.00781561],0.09081835396397489
67980,3,E,[0.11949566 0.16103019 0.29016277 0.1369456  0.28767285 0.00469294],0.2876728470646098
68123,1,B,[0.07121471 0.30537858 0.09767208 0.12005391 0.40172406 0.00395666],0.3053785816181824
68123,2,B,[0.07398114 0.20382026 0.08862359 0.11086977 0.51880211 0.00390314],0.2038202555632105
68123,3,B,[0.06891852 0.52858028 0.06198159 0.09775241 0.240349   0.00241819],0.528580284547639
68369,1,A,[0.2983216  0.15938175 0.11544604 0.17840341 0.24410445 0.00434276],0.2983215997508805
68369,2,A,[0.20650408 0.19652568 0.14208691 0.20451453 0.24657492 0.00379387],0.20650408237509343
68369,3,A,[0.39486749 0.14986141 0.09902811 0.16473433 0.1873383  0.00417036],0.39486748605183747
68538,1,D,[0.2974359  0.16923077 0.21025641 0.19487179 0.11794872 0.01025641],0.19487179487179487
68538,2,D,[0.28125    0.21875    0.21875    0.11458333 0.16666667 0.        ],0.11458333333333333
68538,3,D,[0.33333333 0.25       0.         0.33333333 0.08333333 0.        ],0.3333333333333333
75825,1,B,[0.0975248  0.39778002 0.24782231 0.12000972 0.13217639 0.00468677],0.39778001742152946
75825,2,B,[0.12284837 0.28629396 0.28672039 0.13795589 0.16006881 0.00611257],0.286293960323605
75825,3,B,[0.07751541 0.48446874 0.25399233 0.09532909 0.08523109 0.00346335],0.4844687402337246
75829,1,C,[0.21341268 0.22171842 0.29158759 0.15706098 0.11124951 0.00497082],0.29158758947470304
75829,2,C,[0.23371814 0.23675643 0.25776597 0.15203732 0.11553381 0.00418832],0.2577659740332427
75829,3,C,[0.16571288 0.18273758 0.37995871 0.16204973 0.10463299 0.00490811],0.37995870626629846
75845,1,D,[0.10131075 0.2491119  0.30468588 0.26225203 0.07821764 0.00442179],0.2622520306462597
75845,2,D,[0.09676439 0.2458345  0.31360903 0.26870242 0.07121145 0.0038782 ],0.2687024223759816
75845,3,D,[0.10102232 0.29646673 0.30618771 0.24259909 0.04849727 0.00522688],0.2425990929821415
76318,1,C,[0.23887683 0.13251337 0.38812383 0.06178701 0.17240424 0.00629471],0.3881238318258964
76318,2,C,[0.21778822 0.15570113 0.32937916 0.07364199 0.2153331  0.0081564 ],0.32937915840235316
76318,3,C,[0.3016633  0.11059575 0.37066407 0.03391437 0.1790479  0.00411461],0.3706640732151318
78112,1,E,[0.118883   0.13708408 0.14334889 0.07623497 0.5201063  0.00434276],0.5201062965783948
78112,2,E,[0.12702336 0.17896754 0.16058852 0.0862316  0.44217712 0.00501185],0.44217712457407243
78112,3,E,[0.13833913 0.15153673 0.18621117 0.06263737 0.45696691 0.00430869],0.45696690865682654
78377,1,B,[0.21970064 0.29680984 0.24104832 0.1567054  0.08144039 0.00429542],0.2968098402184845
78377,2,B,[0.22518959 0.29083941 0.23644594 0.16052189 0.08319597 0.0038072 ],0.2908394088118536
78377,3,B,[0.17662549 0.32546225 0.24819788 0.1726242  0.07147505 0.00561513],0.325462249022732
78716,1,C,[0.15834235 0.13361661 0.48726314 0.06226303 0.15651708 0.00199779],0.48726313663276344
78716,2,C,[0.13483098 0.15624296 0.44242099 0.06335777 0.20117507 0.00197223],0.44242098768557914
78716,3,C,[0.1495284  0.10338291 0.61992858 0.03640611 0.08945268 0.00130132],0.619928581309206
81969,1,A,[0.24339854 0.11309266 0.22996209 0.10905394 0.30110315 0.00338962],0.2433985448393979
81969,2,A,[0.21114681 0.12003262 0.2364566  0.11398402 0.31525104 0.00312891],0.21114680959088297
81969,3,A,[0.349096   0.08942706 0.17435075 0.08625574 0.29834466 0.00252578],0.349095995122626
81994,1,C,[0.15126117 0.08912017 0.40647711 0.15664859 0.19274461 0.00374836],0.4064771058378956
81994,2,C,[0.16704357 0.09911503 0.35267936 0.16076576 0.2160867  0.00430958],0.3526793626510985
81994,3,C,[0.12028465 0.06337512 0.46410878 0.15518452 0.19381926 0.00322767],0.46410877773622217
82581,1,A,[0.18675859 0.13640132 0.31082597 0.2450639  0.11685259 0.00409764],0.18675858557379532
82581,2,A,[0.14884312 0.14293177 0.34213462 0.24576604 0.11689572 0.00342874],0.14884311606418263
82581,3,A,[0.24024653 0.14490719 0.24771117 0.25238361 0.11123692 0.00351458],0.24024653281212377
82765,1,E,[0.13646339 0.15024281 0.08831432 0.2958788  0.3267189  0.00238178],0.32671890320110086
82765,2,E,[0.11210241 0.16938492 0.09429907 0.35164128 0.27035357 0.00221875],0.2703535748599786
82765,3,E,[0.19780518 0.09311071 0.07669568 0.21473254 0.41605742 0.00159847],0.4160574218569884
82962,1,A,[0.33025055 0.25906845 0.12458392 0.18113341 0.09946894 0.00549473],0.3302505502089321
82962,2,A,[0.29348459 0.29118055 0.14104216 0.17879297 0.08817051 0.00732922],0.29348459064978194
82962,3,A,[0.38159304 0.26324499 0.08531818 0.20042318 0.06442027 0.00500033],0.381593036421483
83727,1,C,[0.37948718 0.18461538 0.15897436 0.13846154 0.12820513 0.01025641],0.15897435897435896
83727,2,C,[0.19791667 0.28125    0.22916667 0.125      0.16666667 0.        ],0.22916666666666666
83727,3,C,[0.08333333 0.08333333 0.25       0.25       0.33333333 0.        ],0.25
83806,1,E,[0.15592374 0.07041622 0.24545631 0.05796972 0.46456255 0.00567147],0.4645625470781065
83806,2,E,[0.17617844 0.08718972 0.27512023 0.07306965 0.38118869 0.00725326],0.38118869274713796
83806,3,E,[0.12274895 0.03227674 0.24038486 0.03557614 0.56458678 0.00442652],0.5645867808819235
83901,1,B,[0.09127051 0.32329351 0.48497814 0.06623232 0.03266642 0.0015591 ],0.3232935106906753
83901,2,B,[0.10137376 0.2726896  0.49666121 0.09146599 0.03643555 0.0013739 ],0.2726895969062699
83901,3,B,[0.06951283 0.34905501 0.53793542 0.02623126 0.01611788 0.00114762],0.3490550087864458
84199,1,A,[0.35888877 0.13658963 0.17579018 0.11749433 0.20517954 0.00605756],0.35888876732158714
84199,2,A,[0.4036241  0.13780531 0.18710564 0.11724485 0.14654174 0.00767836],0.4036240990057581
84199,3,A,[0.25916173 0.09742964 0.17130752 0.10277836 0.36441976 0.00490299],0.259161726959275
85013,1,B,[0.20250424 0.2340208  0.22475982 0.15427417 0.18046327 0.00397771],0.23402079642479917
85013,2,B,[0.22847442 0.21354147 0.22324269 0.15178546 0.17956054 0.00339543],0.21354146539076066
85013,3,B,[0.13742719 0.26439773 0.24164519 0.14757643 0.20553111 0.00342236],0.2643977314062924
85228,1,C,[0.19698216 0.22892374 0.24709852 0.18915299 0.13274343 0.00509916],0.24709851580351544
85228,2,C,[0.20022494 0.22201671 0.24287833 0.1948253  0.13576246 0.00429226],0.24287833096355246
85228,3,C,[0.16596392 0.26684666 0.24258275 0.18930052 0.1297986  0.00550754],0.2425827539743938
85343,1,D,[0.13819292 0.26792335 0.29079857 0.15489907 0.14273661 0.00544949],0.15489906874771184
85343,2,D,[0.14279185 0.28768385 0.29307016 0.13466308 0.13745351 0.00433757],0.1346630757934546
85343,3,D,[0.10786067 0.26931609 0.3454687  0.16457551 0.10730223 0.0054768 ],0.16457550963947393
85445,1,E,[0.14225584 0.20572133 0.22573505 0.2283346  0.19495175 0.00300143],0.19495175414602944
85445,2,E,[0.14089558 0.21844938 0.22159428 0.2424559  0.17373448 0.00287039],0.17373447704688436
85445,3,E,[0.13255493 0.19426499 0.23109633 0.22315523 0.2165718  0.00235671],0.21657180037604964
85588,1,B,[0.11805085 0.61172292 0.12997134 0.09682836 0.04045877 0.00296776],0.6117229219355572
85588,2,B,[0.12128792 0.58299674 0.14763046 0.10270235 0.04272802 0.00265451],0.5829967444940907
85588,3,B,[0.07111642 0.76270961 0.08115295 0.06052657 0.0222812  0.00221326],0.7627096066848714
85860,1,C,[0.17087617 0.14871422 0.18177409 0.16095768 0.33508671 0.00259114],0.1817740924182682
85860,2,C,[0.17520565 0.16196775 0.17306152 0.19561953 0.29183752 0.00230804],0.17306152146595044
85860,3,C,[0.17055951 0.1778807  0.16059471 0.17416119 0.31462649 0.0021774 ],0.16059471173797435
86438,1,A,[0.22564103 0.24102564 0.17948718 0.20512821 0.14358974 0.00512821],0.22564102564102564
86438,2,A,[0.25       0.23958333 0.14583333 0.20833333 0.14583333 0.01041667],0.25
86438,3,A,[0.33333333 0.08333333 0.33333333 0.16666667 0.08333333 0.        ],0.3333333333333333
86466,1,C,[0.16544036 0.22328909 0.24546788 0.2540766  0.10792196 0.00380412],0.24546787747699222
86466,2,C,[0.17760564 0.23733211 0.22514162 0.25084719 0.10560739 0.00346605],0.2251416205036906
86466,3,C,[0.13809834 0.28097158 0.28788803 0.21343635 0.07574275 0.00386296],0.28788802532955576
86499,1,B,[0.18914773 0.21464461 0.2106143  0.21847082 0.16269352 0.00442902],0.21464460500679608
86499,2,B,[0.17829991 0.21740996 0.22169555 0.21855865 0.16019408 0.00384184],0.217409960542149
86499,3,B,[0.16421176 0.20502902 0.19959833 0.23609667 0.19068381 0.00438041],0.2050290234493076
86703,1,A,[0.4527683  0.16704259 0.08122578 0.12503103 0.17052584 0.00340646],0.45276829786607303
86703,2,A,[0.37738016 0.21652379 0.10700394 0.14073433 0.15417079 0.00418698],0.3773801639346447
86703,3,A,[0.51580792 0.16232638 0.10290644 0.09906397 0.11695451 0.00294077],0.5158079175354916
86840,1,C,[0.23986795 0.20215602 0.28429495 0.16542458 0.1033446  0.0049119 ],0.28429495406860045
86840,2,C,[0.25381086 0.20747287 0.27365439 0.15822318 0.10292756 0.00391114],0.27365438866982666
86840,3,C,[0.21265248 0.20109434 0.33759933 0.16349962 0.07906777 0.00608647],0.33759932782408664
87207,1,E,[0.2567298  0.11480535 0.07229304 0.25306034 0.29710862 0.00600285],0.2971086152408926
87207,2,E,[0.29505837 0.14663769 0.08232446 0.28424444 0.1835543  0.00818074],0.1835542981872842
87207,3,E,[0.24721421 0.08744947 0.04518231 0.28610512 0.32914077 0.00490811],0.32914077269490283
87998,1,E,[0.36263503 0.11578689 0.34948893 0.04959771 0.12028009 0.00221136],0.12028009106326035
87998,2,E,[0.37622481 0.1119385  0.36814668 0.05119793 0.09038393 0.00210815],0.09038393115331261
87998,3,E,[0.41836803 0.07483593 0.33801431 0.03347559 0.13351811 0.00178803],0.13351811339894562
88045,1,D,[0.1552252  0.04810383 0.13606677 0.59218156 0.06333189 0.00509075],0.5921815626354482
88045,2,D,[0.18073588 0.05240792 0.16354153 0.51644344 0.08037222 0.00649902],0.5164434364176909
88045,3,D,[0.1208226  0.03010959 0.09134317 0.71007803 0.0439476  0.00369902],0.7100780277375031
88655,1,D,[0.13205961 0.11412049 0.31719913 0.29417978 0.14047476 0.00196623],0.29417977840151155
88655,2,D,[0.15775545 0.12054167 0.34341656 0.22076941 0.15550871 0.00200821],0.2207694081055834
88655,3,D,[0.12108388 0.07331943 0.27533596 0.41698986 0.11174412 0.00152674],0.41698986100508745
89149,1,A,[0.48276363 0.08591991 0.19048065 0.08491418 0.15170933 0.00421231],0.4827636268762861
89149,2,A,[0.43451742 0.10489045 0.21765782 0.08749355 0.15024633 0.00519442],0.434517424219205
